版面,图表区域,度量,维度,数值
人群概览,上传人数,上传人数,N/A,0
人群概览,覆盖人数,覆盖人数,N/A,"375,215"
人群概览,匹配活跃用户数,匹配活跃用户数,N/A,"355,443"
人群概览,性别,占比,女,41.41%
人群概览,性别,TGI,女,103
人群概览,性别,占比,男,56.93%
人群概览,性别,TGI,男,108
人群概览,年龄,占比,25-30,31.21%
人群概览,年龄,TGI,25-30,129
人群概览,年龄,占比,18-24,31.17%
人群概览,年龄,TGI,18-24,117
人群概览,年龄,占比,1-17,14.33%
人群概览,年龄,TGI,1-17,99
人群概览,年龄,占比,31-35,10.14%
人群概览,年龄,TGI,31-35,88
人群概览,年龄,占比,41-50,5.36%
人群概览,年龄,TGI,41-50,71
人群概览,年龄,占比,36-40,5%
人群概览,年龄,TGI,36-40,72
人群概览,年龄,占比,51-60,1.17%
人群概览,年龄,TGI,51-60,71
人群概览,年龄,占比,61以上,0.3%
人群概览,年龄,TGI,61以上,48
人群概览,学历,占比,大专,4.42%
人群概览,学历,TGI,大专,193
人群概览,学历,占比,小学,4.59%
人群概览,学历,TGI,小学,110
人群概览,学历,占比,初中,10.75%
人群概览,学历,TGI,初中,162
人群概览,学历,占比,高中,9.43%
人群概览,学历,TGI,高中,151
人群概览,学历,占比,本科,29.38%
人群概览,学历,TGI,本科,174
人群概览,学历,占比,硕士,1.62%
人群概览,学历,TGI,硕士,140
人群概览,学历,占比,博士,0.57%
人群概览,学历,TGI,博士,152
媒体兴趣爱好,车型,占比,合资,74.82%
媒体兴趣爱好,车型,TGI,合资,107
媒体兴趣爱好,车型,占比,国产,46.99%
媒体兴趣爱好,车型,TGI,国产,120
媒体兴趣爱好,车型,占比,进口,44.57%
媒体兴趣爱好,车型,TGI,进口,103
娱乐兴趣,观看平台,占比,Android平台,74.92%
娱乐兴趣,观看平台,TGI,Android平台,159
娱乐兴趣,观看平台,占比,PC平台,41.63%
娱乐兴趣,观看平台,TGI,PC平台,72
娱乐兴趣,观看平台,占比,iPhone平台,20.86%
娱乐兴趣,观看平台,TGI,iPhone平台,109
娱乐兴趣,观看平台,占比,iPad平台,6.07%
娱乐兴趣,观看平台,TGI,iPad平台,102
娱乐兴趣,视频时长,占比,1－3分钟,85.37%
娱乐兴趣,视频时长,TGI,1－3分钟,113
娱乐兴趣,视频时长,占比,3－5分钟,74.61%
娱乐兴趣,视频时长,TGI,3－5分钟,127
娱乐兴趣,视频时长,占比,1分钟以下,71.85%
娱乐兴趣,视频时长,TGI,1分钟以下,133
娱乐兴趣,视频时长,占比,30分钟以上,70.23%
娱乐兴趣,视频时长,TGI,30分钟以上,141
娱乐兴趣,视频时长,占比,10－30分钟,62.27%
娱乐兴趣,视频时长,TGI,10－30分钟,154
娱乐兴趣,视频时长,占比,5－10分钟,51.91%
娱乐兴趣,视频时长,TGI,5－10分钟,168
娱乐兴趣,网络接入,占比,wifi网络,91.83%
娱乐兴趣,网络接入,TGI,wifi网络,102
娱乐兴趣,网络接入,占比,4G,74.09%
娱乐兴趣,网络接入,TGI,4G,119
娱乐兴趣,网络接入,占比,离线,36%
娱乐兴趣,网络接入,TGI,离线,129
娱乐兴趣,网络接入,占比,3G,18.68%
娱乐兴趣,网络接入,TGI,3G,167
娱乐兴趣,网络接入,占比,2G,10.78%
娱乐兴趣,网络接入,TGI,2G,165
